    ID,UnitID,UnitSize,WarehouseID,Rent
1,1,8 x 8,OR-1,25
2,1,12 x 12,WA-1,35
3,1,12 x 12,WY-1,45
4,2,8 x 12,OR-1,30
5,2,12 x 12,WA-1,35
6,2,12 x 12,WY-1,45
7,3,8 x 8,OR-1,25
8,3,9 x 12,WA-1,30
9,3,12 x 12,WY-1,45
10,4,8 x 12,OR-1,30
11,4,9 x 12,WA-1,30
12,4,12 x 18,WY-1,70
13,5,8 x 8,OR-1,25
14,5,12 x 12,WA-1,85
15,5,12 x 18,WY-1,70
16,6,8 x 12,OR-1,30
17,6,12 x 12,WA-1,85
18,6,12 x 12,WY-1,45
19,7,8 x 10,OR-1,25
20,7,12 x 10,WA-1,80
21,7,12 x 12,WY-1,85
22,8,15 x 15,OR-1,95
23,8,12 x 10,WA-1,80
24,8,12 x 8,WY-1,35
25,9,15 x 15,OR-1,95
26,9,18 x 18,WA-1,115
27,9,15 x 15,WY-1,95
28,10,15 x 15,OR-1,95
29,10,18 x 18,WA-1,115
30,10,18 x 18,WY-1,115
